[-163.62821782 -287.89034398]
[-268.46101887 -303.15186846]
[-236.39710367 -191.36522745]
[-128.49677593 -209.56285652]
[-262.25151395 -180.26051693]
[-153.01368623 -237.5414146 ]
[-161.84395245 -166.9724127 ]
[-140.42884814 -210.77274853]
[-240.55149299 -135.48915707]
[-265.046411   -203.70405513]
[-266.63531956 -222.69855729]
[-263.11461147 -288.58816426]
[-224.58004871 -218.47162301]
[-257.74839314 -235.07704719]
[-304.19447622 -267.253313  ]
[-342.23647013 -309.76594347]
[-277.60644014 -178.56759269]
[-207.91428556 -241.09104838]
[-247.11883114  -89.10032909]
[-234.75722393 -214.29092111]
[-213.04725612 -241.05436968]
[-205.61601767 -214.44591671]
[-195.4129257  -199.60491975]
[-318.49062497 -236.52283233]
[-161.97761959 -278.96747692]
[-265.73962818  -84.13844804]
[-171.83835074 -176.51501745]
[-297.42276819 -205.39781601]
[-218.14750465 -205.94259056]
[-309.75830487 -251.92624519]
[-202.84152654 -277.2736714 ]
[-246.9239585  -207.20635533]
[-117.41258255 -152.05491806]
[-323.11568658 -238.82735382]
[-197.09781492 -185.18373896]
[-178.10709986 -179.19868086]
[ -88.38872025 -288.74626994]
[-169.29368436 -257.38541408]
[-163.98188913 -126.36695906]
[-130.48438551 -238.27079998]
[-232.6786163 -242.5781554]
[-324.53437231 -181.60556898]
[-316.41890464 -237.91257758]
[-212.26632659 -127.05856549]
[-202.75238132 -115.24376207]
[-222.50610517 -235.68498672]
[-344.06927329 -184.40268871]
[-236.06613186 -161.90148371]
[-246.31501688 -300.78500614]
[-105.82119223 -297.29950864]
[-235.41363443 -230.53934154]
[-183.53141988 -184.42747063]
[-327.78291188 -226.09659452]
[-270.04426362 -136.90746833]
[-269.95298028 -140.51831698]
[-248.2584647  -235.21982019]
[-127.28476428 -273.86630883]
[-260.26389594 -207.65324021]
[-178.35022905 -107.62724466]
[-167.43937601 -238.88619348]
[-172.29523927 -103.31443043]
[-273.13133007 -177.08132148]
[-257.56343503  -94.93958369]
[-157.54503814 -180.40605926]
[-287.26089069 -135.44950605]
[-238.84432678 -168.46357765]
[-287.40096358 -285.28058358]
[-186.37757539 -234.78381576]
[-141.36548157 -255.33595065]
[-230.48516595 -239.00427779]
[-252.48196676 -175.4373364 ]
[-225.59005495 -271.84814842]
[-165.12472331 -254.51494682]
[-180.63838308 -246.91080333]
[-301.62457028 -225.97286089]
[-211.88248343 -364.32361538]
[-268.49276953 -361.11021354]
[-249.38203802 -193.53640651]
[-245.94884764 -195.05047631]
[-264.71498891 -105.48895348]
[-161.83411122 -117.89316093]
[-179.47970667 -144.88446069]
[-177.98179086 -165.55585906]
[-207.86711126 -179.69977441]
[-320.4340289 -143.5133327]
[-178.65609297 -152.48285098]
[-268.78228323 -141.6501345 ]
[-185.19604655 -223.25942096]
[-259.86095999 -226.58991042]
[-243.18076152 -266.86209166]
[-180.33076891 -208.64587155]
[-158.67163119 -107.52876176]
[-166.75142203 -282.58748087]
[-147.73339083 -106.03123347]
[-343.28621164 -232.05552885]
[-324.49157382 -278.97993273]
[-249.81770698 -152.86123995]
[-233.06026965 -133.70355739]
[-179.44043684 -182.28311095]
[-232.62792276 -165.95292153]
[-213.52359631 -278.05288087]
[-173.35684054 -259.54350623]
[-232.18453521 -208.78689174]
[-257.3679104  -249.52329574]
[-212.31292308 -233.26641797]
[-311.24536717 -278.44880376]
[-259.63356304 -196.89311464]
[-296.18335017 -267.90219559]
[-255.37412519 -261.52798793]
[-180.19472409 -168.65214901]
[-211.24193782 -138.54136977]
[-157.67533198 -191.31422362]
[-202.73745116 -199.12314733]
[-270.27995507 -243.15917114]
[-294.49723599 -155.2947347 ]
[-158.14272714  -90.61051453]
[-146.52401618 -230.31120688]
[-256.00216409 -182.08396874]
[-279.07615073 -201.84044439]
[-185.60285699 -284.23313764]
[-252.2583849  -292.20763331]
[-152.11205944 -269.34353954]
[-206.80429865 -184.68785143]
[-151.52012451 -154.05789889]
[-250.1073871 -117.9119297]
[-326.69245446 -167.37946837]
[-229.23246259  -86.23044981]
[-199.71393295 -120.40609611]
[-201.39207212 -226.4247624 ]
[-224.90682536 -183.87510205]
[ -66.04411301 -129.55202262]
[-239.45101792 -215.27830483]
[-146.76379994 -265.52774786]
[-241.81213623 -221.90808494]
[-234.70458842 -159.94765083]
[-294.79638273 -211.92667029]
[-132.79778439 -280.54769508]
[-317.65617898 -356.29063076]
[ -97.17752142 -230.37548087]
[-251.82765045 -309.29814161]
[-170.24655292 -143.25706444]
[-247.96121228 -288.69395735]
[-100.72115572 -118.57776628]
[-282.79827919 -271.52731622]
[-130.68160762 -253.40600052]
[-223.86208582 -168.62630994]
[-221.63222592 -239.95358976]
[-283.52788804 -198.57048862]
[-160.67324547 -130.6530726 ]
[-210.85606575 -145.73146228]
[-160.37271329 -291.21571109]
[-209.29986873 -178.37381431]
[-175.22454128 -227.29518758]
[-214.10571532 -115.39453942]
[ -97.0898325  -175.82701513]
[-227.51552287 -158.62273334]
[-334.07558849 -186.55325653]
[-342.32565999 -232.65270329]
[ -75.45737023 -248.18381811]
[-206.41823999  -64.20725632]
[-184.4498811  -276.64765767]
[-268.95374183 -134.87065505]
[-154.23687076 -209.91259124]
[-131.84224366 -141.70520698]
[-231.78122443 -148.28320839]
[-180.47174184 -192.49934   ]
[-310.74777195  -96.50001908]
[-144.09128163 -232.2674193 ]
[-255.87533617 -284.51640566]
[-200.22215275 -205.86129025]
[-165.68126174 -309.84945442]
[-175.12886238  -78.32995688]
[-214.78609307 -257.14926821]
[-125.36870919 -223.48753083]
[-225.18729248 -274.1114255 ]
[-117.13874554 -237.94836506]
[-167.19309819 -222.31495505]
[-241.78525325 -130.06622127]
[-137.32212455 -278.30348876]
[-211.81637474 -146.19007962]
[-249.27068016 -185.47538852]
[-225.80365856 -280.94678365]
[-235.71053655 -174.37645899]
[-254.07395141 -172.27496546]
[ -64.69540926 -196.06763009]
[-277.74069691 -302.79071376]
[-264.94993098 -262.3481127 ]
[-276.78476788 -256.88340543]
[-273.54002665 -127.21249688]
[-254.53572499 -272.9430148 ]
[-246.19329619 -356.35997147]
[-218.42198037 -265.71443297]
[-205.599391  -217.2955758]
[-236.88868272 -287.9239153 ]
[-99.31374299 -83.79577731]
[-162.99559317 -186.34875605]
[-155.09087966 -184.4898271 ]
[-202.80781101 -149.71887958]
[-258.6482015  -248.02965737]
[-221.16779049 -176.27858533]
[-189.68562615 -169.69197581]
[-228.44819461 -208.35792096]
[-154.77692092 -320.94253557]
[-194.59124357 -236.60054715]
[-262.02739949 -116.93712929]
[-252.61444704 -147.55254513]
[-208.76181928 -261.0201706 ]
[-210.93418084 -236.78275558]
[-273.96055236 -149.27261822]
[-227.38246128 -278.02297652]
[-177.51947365 -237.79032603]
[-137.46201497  -80.83732919]
[-191.87753861 -306.59031285]
[-165.57905615 -294.88975328]
[-250.23383602 -200.98007549]
[-160.82806602 -209.73859356]
[-233.45500118 -143.98076304]
[-178.98700591 -297.19733616]
[-213.30835176 -176.5030636 ]
[-240.4005745  -259.74247147]
[-190.51745929 -243.14970314]
[-238.43181357 -299.73876518]
[-237.06258317 -160.63456036]
[-274.30122698 -237.3848756 ]
[-270.04621745 -185.55615774]
[-247.87729103 -128.44018763]
[-124.29618599 -264.56562218]
[-296.45968435 -251.70519404]
[-223.27022323 -168.32002873]
[-246.09522101 -181.9519038 ]
[-243.12050141 -288.74403085]
[-111.15933393 -197.23484704]
[-167.78984987 -129.32762772]
[-212.56347039 -199.93151238]
[-309.85662349  -93.21747537]
[-213.44534129 -294.12647802]
[-224.69865027 -183.4897625 ]
[-172.35261921 -232.7058597 ]
[-231.96123322 -230.86226174]
[-169.22041647 -221.80518042]
[-187.52612902 -314.37967231]
[-235.1440155  -192.63374608]
[-248.97424525 -172.09359858]
[-210.0601579  -285.42154321]
[-164.46594414 -207.05810949]
[-185.48602344 -300.54428323]
[-320.80086739 -207.72923749]
[-149.08089225 -171.89433779]
[-145.1876758  -286.45268174]
[-165.40502658 -299.39693295]
[-243.98284394 -210.12137785]
[-254.50220113 -171.88625943]
[-215.06530828 -276.00944711]
[-299.00653987 -218.03211482]
[-307.04979644 -305.08069769]
[-171.3228405  -302.22457413]
[-159.80396355 -218.7594072 ]
[-113.35353434 -136.22821435]
[-335.99003319 -276.45861761]
[-292.46586635 -207.11277015]
[-152.67000146 -178.78789605]
[-262.16715605 -170.61503366]
[-242.52058634 -229.74038685]
[-223.8635708  -269.49999144]
[-177.80349651 -177.86807574]
[-110.07405397 -223.60726268]
[-150.44099586 -244.54006219]
[-302.58227552 -178.80561142]
[-258.570115   -299.40286751]
[-185.68072603 -252.95126408]
[-198.11455976 -256.53634307]
[-164.18523311 -172.00326279]
[-272.18050116 -356.18747221]
[-341.20103603 -110.0780754 ]
[-161.49076493 -178.08906561]
[-154.43413274 -191.50330863]
[-259.92765951 -264.09997558]
[-267.47161409 -181.41150833]
[-204.42611141 -134.01470574]
[-159.30580205 -228.80690793]
[-275.20329279 -120.20686734]
[-157.91150756 -259.25816454]
[-219.06325952 -166.74350332]
[-116.49354625 -216.23548827]
[-254.65267245 -166.33889167]
[-300.86946479 -132.22916893]
[-289.57736437 -190.97323401]
[-271.66568519 -216.99056231]
[-167.58434431 -197.15989024]
[-273.00657394 -355.7470277 ]
[-187.1195375   -88.04605041]
[-241.39615252 -218.26001135]
[-272.72780276 -304.16017139]
[-207.10725789 -148.61861889]
[-206.51036562 -136.2140007 ]
[-255.29743949 -268.81903668]
[-149.52340725 -235.85014583]
[-254.40778645 -142.77043079]
[-200.05185004 -271.07714934]
[-160.2078773  -195.15839194]
[-364.50810349 -124.63494519]
[-290.42906527 -188.36008194]
[-259.23642789 -265.22824091]
[-252.16223743 -280.4419006 ]
[-127.18661398 -138.14979345]
[-322.66558114 -246.95277758]
[-172.89879527 -197.90432714]
[-152.8321205  -186.52345794]
[-231.57986028 -217.42047196]
[-187.700388   -233.93128244]
[-209.20459737 -182.98841251]
[-270.576457   -196.06808048]
[-122.97152317 -230.50562838]
[-116.28190373 -203.52986243]
[-248.77337503 -150.7119201 ]
[-212.46074162 -117.00948851]
[-174.45691138 -317.59478606]
[-251.69555756 -356.37415843]
[-194.99010215 -331.58019488]
[-132.26541515 -124.27959021]
[-143.32855858 -180.78195195]
[-129.21503492 -287.15184418]
[-315.96384209 -224.53369801]
[-171.85878691 -120.24013002]
[-140.90422783 -245.06141257]
[-161.46436739 -119.69171143]
[-211.02822204 -309.90862088]
[-291.17134616 -157.62831002]
[-200.29958722 -193.79035698]
[-273.5093194  -221.62253885]
[-305.46213673 -235.23657969]
[-156.70544819 -178.43627338]
[-255.81744695 -212.57741493]
[-240.11105739 -232.20187925]
[-217.83262055 -168.52842122]
[-151.5055152  -140.36800092]
[-171.51527581  -94.02955477]
[-221.86600228 -158.13105903]
[-160.24059425 -219.27773094]
[-212.8135726  -248.30817874]
[-180.18011089 -156.78323208]
[-271.29890406 -137.71744477]
[-196.28946402 -186.47427827]
[-313.75498192 -268.45450644]
[-136.38993339 -121.84558597]
[-139.64401202  -94.576544  ]
[-175.79030501 -207.6384535 ]
[-241.47662854 -242.04838407]
[-235.08290182 -181.24485923]
[-107.73929578 -152.27697169]
[-179.48754404 -171.03204137]
[-204.56359475 -172.87170288]
[-252.77583345 -268.66927712]
[-195.73221654 -120.02219743]
[-173.79880347 -148.88658873]
[-159.3346424  -242.40933954]
[-310.87673774 -281.47278872]
[-262.45961489 -214.0179372 ]
[-205.64702922 -211.34093096]
[-211.79621832 -275.21838483]
[-141.8908453 -112.1764238]
[-203.05845838 -200.48443818]
[-165.98718588 -240.58531394]
[-206.90394826 -209.76339292]
[-255.39377143 -268.84734182]
[-312.70062807 -197.09987886]
[-166.02197708 -229.62099706]
[-152.9544358  -391.52231264]
[ -92.17386077 -225.81872428]
[-216.73405931 -267.31876669]
[-176.25951888 -117.83977361]
[-166.58774973 -201.02978107]
[-188.7044457  -192.86992411]
[-280.92024628 -141.21096061]
[-203.66189231 -130.19741337]
[-206.02361571 -149.5146923 ]
[-138.24158042 -230.9934015 ]
[-239.31954246 -232.95641748]
[249.32726208 109.55379419]
[142.52871272 203.78897194]
[126.98585593 196.24857637]
[207.09307342 156.11020622]
[193.29535203 161.98571178]
[249.95993788 180.4300798 ]
[206.04883451 243.49833218]
[215.99697483 214.22037395]
[214.46265613 234.13759794]
[233.07261867 186.01939096]
[ 76.03256333 193.29311678]
[158.886358   135.26138204]
[ 57.4940491  194.76142547]
[ 66.87149087 299.07552087]
[156.72607041  43.92203117]
[156.22671218 113.61705239]
[199.42618265 103.26340677]
[ 99.61258905 137.06771827]
[195.14294877 104.08454431]
[120.29405575 247.88611901]
[167.59117568 165.69037041]
[ 74.46577273 186.60809145]
[180.23374839 169.54852839]
[208.40972821 151.42959464]
[ 97.95878646 162.25434393]
[103.5417094  247.50836609]
[193.3111532  127.49494316]
[226.35189932  75.29037601]
[114.91210449 131.29528054]
[168.43073014 158.04186837]
[108.40785238  68.66245463]
[254.09786343 211.91151329]
[189.05512649 227.90971785]
[214.21901223 214.61976723]
[231.26300507 173.69997864]
[216.30708482  99.57313186]
[249.52037344 198.41565683]
[220.40988865  99.89205748]
[150.5115374 222.4082568]
[174.3543464  171.56884411]
[169.53918667 269.6762834 ]
[207.134207    87.05667853]
[133.91672106 101.52612398]
[167.63758498 198.11621802]
[242.44531204 181.15488795]
[226.34797143 343.93870549]
[229.10532577  85.11778896]
[137.25258736 217.17033095]
[ 84.12958469 185.56454389]
[183.35923777 201.9893785 ]
[267.09688579 161.32032967]
[179.07052368 271.45812503]
[174.61324394 300.41776358]
[ 76.83930351 158.54446417]
[204.86656232 231.52382435]
[339.82431389 223.93753727]
[217.12000848 131.1165649 ]
[321.9047123  247.27466853]
[171.68554806 250.98812728]
[166.78666313 221.18505005]
[108.87745441  64.13623156]
[171.14540487  84.31892216]
[172.85198101 183.59806541]
[208.93684339 167.90880994]
[152.65217743 349.32501351]
[  0.6194849  245.06543514]
[285.02302012 130.09040423]
[115.02981771 248.12264641]
[147.9133002  254.69215586]
[209.15570285 211.4257137 ]
[140.12736785 118.8004376 ]
[172.14724069 105.96247538]
[186.28187977 181.94508274]
[106.44063973 189.19323215]
[186.1866708  280.99804297]
[149.52304862 184.62178558]
[149.08368071 286.98978007]
[ 73.68969927 225.68432111]
[ 47.73329274 166.87513441]
[136.25814491 158.0179774 ]
[209.40759709 105.18062586]
[116.68010382 195.23108875]
[182.62287522 148.40592389]
[138.99177451 140.30691606]
[177.52390584 225.0996579 ]
[117.31926071 209.77829318]
[206.06056108 220.12698992]
[150.36853906 106.37304255]
[168.58575325 196.47689223]
[195.0059419  221.37593455]
[ 70.07473044 219.53839871]
[158.16303585 224.94993429]
[219.55181942 297.85592347]
[203.10700692 127.09248508]
[350.15848604 132.96408255]
[283.96410571 202.06739309]
[249.78532881 129.04972666]
[260.95986569 211.11779499]
[ 69.90649436 223.04226721]
[227.80003203 263.06825732]
[311.76242979 111.79914243]
[109.26551935 162.92404629]
[242.97516895 198.3176839 ]
[176.89321041 235.67934284]
[140.19413041 236.28432196]
[313.14231746  70.27059875]
[140.51301421 138.84917366]
[176.64869206 270.36672595]
[129.95310607 190.41385334]
[327.31703383 102.07349908]
[196.99128948 162.82031594]
[150.87814615 228.16091467]
[200.54205754 131.84679266]
[149.50625393 216.45283554]
[202.86258911 153.94560722]
[117.25631501  64.84595816]
[124.877734   302.40825072]
[270.51715861 347.81382135]
[208.96710186  87.805017  ]
[158.84166594  47.29585149]
[152.3586381  163.89943976]
[283.77851519 140.53912648]
[201.30833374 243.38165664]
[295.92875343 102.34300988]
[272.27119626 183.60725656]
[270.63436832 225.15034657]
[253.95167502 216.96463975]
[129.38708076 214.43593819]
[206.50450335 149.48295411]
[101.6139364  296.87062016]
[257.21325043 182.50233177]
[123.3283762  206.44349461]
[224.08369454 128.64485714]
[122.24639312  58.33003481]
[270.53912917 159.02292261]
[190.38926827 210.55829699]
[119.39525566 203.07806572]
[123.54822328 200.82855384]
[145.37989731 126.56943588]
[265.71255678 311.01712507]
[255.47557788 107.42398361]
[235.97277276 178.46547891]
[265.50680119 213.86815969]
[244.91288841 233.61848117]
[124.28773786 173.45546617]
[138.02875049 217.67220148]
[132.25851855 147.83001808]
[217.39535152 143.83696442]
[107.44643415 182.79133491]
[155.84989334 189.40542447]
[261.55871858 194.22938527]
[ 92.63115898 271.63170164]
[189.05776079 153.1776399 ]
[153.79869663 204.84643483]
[ 60.77050825 142.61929597]
[132.38117069 217.45420994]
[191.25917881 132.53522062]
[165.01706081 307.88378692]
[143.98357776 288.93484853]
[305.10944467 150.52899542]
[127.3339452  218.16799037]
[198.18807221 257.8641508 ]
[186.44049279 172.64168966]
[163.18347095 160.67618249]
[200.83029943 243.1480557 ]
[103.85266703 268.31065793]
[183.62812519 191.14914558]
[183.54950288 140.31069959]
[108.23694407 100.24502019]
[193.57182498 213.7366837 ]
[ 81.6070042  143.45990872]
[298.82781867 278.79261502]
[205.52675769 183.19954812]
[206.72686654 248.61739062]
[162.77370777 171.89779231]
[158.8767369  121.48485808]
[225.56723931 116.96385042]
[206.02200343 198.29774918]
[171.03910311 115.59339717]
[135.86937933 260.34046295]
[156.79528353 125.61176182]
[230.01636788 131.36360719]
[189.05758342 177.99333467]
[249.26709575 255.25100914]
[163.19612164  74.81474218]
[ 92.68567721 219.43483343]
[224.15113269 304.1492047 ]
[122.29207947 168.86396925]
[246.12435384 178.23097976]
[260.49424384 113.43868422]
[205.69267824  62.33137617]
[191.53459935 168.80723782]
[115.5208359 191.9091359]
[218.56880787 186.21432042]
[199.06969135 166.77351287]
[116.54905064 228.12631732]
[32.77590475 50.07875874]
[121.7597777  158.36960738]
[246.41037602 223.21180482]
[119.37936258 282.60131513]
[123.64610305  83.87026037]
[215.48676454 171.66485803]
[141.34649624 110.86972275]
[178.2872831  188.66205536]
[224.79179415 171.54519633]
[210.42287868 232.89457135]
[ 97.99759043 182.84350542]
[135.63084363 216.25067136]
[222.67156904 286.77934592]
[161.04808511 171.43169986]
[221.81922541 155.05375496]
[168.11583395 291.42983356]
[245.89509955 158.83076172]
[245.84074959 179.25218471]
[299.85472307 215.53360842]
[258.26633838 216.47141395]
[180.48492036 199.5424646 ]
[232.66223714 203.61248374]
[147.1474785  107.30460174]
[128.51839347 339.71926996]
[247.11299008 169.46329327]
[173.20293707 171.77035242]
[168.27933209 151.75520787]
[183.05254365 228.87501391]
[158.37297714 229.48396807]
[164.03911232 216.30749532]
[ 27.58986509 124.96814284]
[151.82126322 264.29435929]
[288.70093248 326.07160878]
[154.20574633 137.44548639]
[175.39127177 152.83618238]
[209.18024742 134.3359566 ]
[108.66322328  94.28563551]
[ 66.54318477 182.70266819]
[204.53038379 217.20531168]
[143.88100856 162.41502217]
[210.8066748  174.08649427]
[254.8541529  71.5495554]
[ 98.986736   210.56820421]
[306.89694234 302.76947517]
[192.35185081 270.81600135]
[210.25396235 171.758877  ]
[173.65437879 180.62686664]
[ 71.18501666 225.16183831]
[188.40699196 217.65405574]
[116.31883856 226.71668663]
[259.2032045  294.02216125]
[169.53423202 122.80806662]
[120.76867764 203.11625915]
[214.89809274 137.81035713]
[121.55385591 316.06593493]
[160.42848426 197.77354209]
[254.78587728 175.67756317]
[193.56291102 192.41133216]
[283.20509937 139.95211109]
[252.51298509 202.00712424]
[184.39205561 245.3406906 ]
[207.0119565  324.87096356]
[234.11790609 275.62031721]
[140.98838785 228.46733323]
[ 98.45214038 137.16783815]
[137.08038941 201.69625061]
[193.33451156 185.05880769]
[ 85.06914837 169.15469342]
[212.10596676 161.37529108]
[141.02589797 193.80045376]
[223.87201574 190.01762047]
[112.31624433 156.90504806]
[231.09763313 173.87392336]
[283.49729824  95.21046659]
[220.54992706 146.42263763]
[ 51.629661  207.4016221]
[ 99.63816741 212.98897922]
[208.45213669 232.23676911]
[149.32669247 195.93581297]
[197.5861201  234.11879338]
[137.13820808 130.96513786]
[244.68558448  94.37443973]
[172.051834  296.1515313]
[195.51551671 158.51468395]
[239.68181909 234.61741936]
[164.49211429  97.39420716]
[160.34039163 140.73653327]
[191.44819451 166.00290621]
[100.79957054 109.22531108]
[ 98.83058428 259.002259  ]
[215.99459335 184.43245292]
[244.01474081 178.09419369]
[133.7224129  277.75636891]
[190.67907161  43.4305738 ]
[218.48888331 130.69357988]
[138.62317439 176.0089071 ]
[196.57637939 224.5852466 ]
[247.97408023 330.88555332]
[143.36936807 267.87435231]
[199.08843016 179.51402713]
[185.13726779 124.94625915]
[301.58860815 201.5188319 ]
[179.06977148 186.3419979 ]
[152.22549413 167.0960607 ]
[109.14916709 109.9271358 ]
[ 14.83061834 193.68217746]
[147.7370014   72.58666405]
[166.56253981 131.26113003]
[ 76.12798101 237.60448218]
[ 98.7046753  105.76367636]
[243.07989734 127.40261815]
[286.02443752 209.97414815]
[210.49580881  73.41790919]
[247.7577467  140.19845885]
[194.88309208 154.44927366]
[160.00978269 172.13770946]
[135.71328582 201.13533641]
[321.52294322 170.15557864]
[146.14435605 284.4285384 ]
[205.99050975 180.77746849]
[ 52.07444062 164.27915173]
[162.42529812 110.81631058]
[234.35835458 120.48025461]
[237.89565278 179.09988867]
[275.40275603 192.66112933]
[120.4305119  228.95083676]
[125.41158495 112.63162799]
[281.50497518 175.93139148]
[306.83853337 300.38711469]
[160.65790054 116.18682171]
[275.98464761 213.31180011]
[139.84623985 179.55127276]
[221.34634949 167.35640912]
[197.02897441  97.54860112]
[ 44.05570604 280.46042574]
[177.3660816 212.4846615]
[182.57436056 281.02765403]
[162.58699549 147.95339842]
[211.55339949 149.90793256]
[202.55604938 161.72933837]
[336.77701842 229.86761689]
[108.90281556 253.42720134]
[146.8530409  165.54153566]
[127.00836166 275.9908212 ]
[197.96340138  95.64990146]
[152.92700478 230.69474965]
[ 57.9669214  248.82281974]
[193.60016221 247.92476711]
[161.93723081 212.33133564]
[150.85968587 216.60619688]
[216.48497779 233.7536201 ]
[195.02749973  94.49810912]
[195.42347616 186.1215409 ]
[291.25639393 233.02916781]
[180.93582169  94.17714301]
[223.13611599 185.91380048]
[193.49775967 153.63159933]
[120.0233779  137.47961453]
[141.1102288  135.40781296]
[174.66906768 168.08498138]
[290.51006961 100.7793828 ]
[106.663054   282.40555657]
[248.33611766 102.95270079]
[112.07955045 198.44378817]
[121.83627671 149.64453246]
[109.43809141 208.44536484]
[152.2224348  110.72908683]
[156.40442603 217.44066096]
[255.08042512 250.85377595]
[241.76052535 107.0585497 ]
[205.38644111 106.77307797]
[184.63059646 181.20083699]
[254.13514744 175.11481027]
[258.67364338  23.29813825]
[295.55538532 184.11666109]
[ 45.45454596 225.36529485]
[224.63327383  92.53834484]
[134.24414108 153.35962333]
[168.08995911  25.76174604]
[134.8456862  197.92893213]
[149.49644546 158.03584655]
[202.05996529 152.1143329 ]
[ 94.94871704 227.53582085]
[188.59549736 218.21006882]
[147.35742028 157.96388268]
[146.74095582 109.07247624]
[151.0809172  171.77214938]
[116.71474858 195.54178494]
[209.26629156 208.71742112]
[ 55.18128006 145.03811688]
[232.2029816  306.25844575]
[142.4004859  193.46915252]
[178.63666276 198.09945619]
[ 54.67193508 143.23896847]
[198.27280016 213.39226871]
[127.2155897  198.24210298]
[251.37073701 249.93617023]
[163.07828079 161.96208384]
[184.72396155 150.75012337]
[167.48480932 201.66030676]
[203.56261859 242.65340251]
[342.95036178 202.8007712 ]
[264.35004356  89.44776253]
[159.04294539 271.99728447]
[186.3477528  160.94423209]
[234.26065529 199.07698086]
[175.93434768 230.70439041]
[238.28755654 252.84809308]
[172.566131   235.14406692]
[174.84765386 166.99833132]
[199.00733576 246.0974316 ]
[108.20193223 226.49127482]
[301.23761865 135.17267494]
[247.95476399 198.58865666]
[ 19.4050841  114.41271132]
[123.77590565 204.03813768]
